"Y","Med","Edad"
6.81136174322919,"No",">60"
10.8570789757831,"No",">60"
10.1282699695764,"No",">60"
10.7002414872335,"No",">60"
12.1924278447557,"No",">60"
11.7312179608214,"No",">60"
11.8453008404915,"No",">60"
12.6824640760286,"No",">60"
14.3295833100535,"No",">60"
10.1492216863218,"No",">60"
13.0601816645706,"No",">60"
10.7022250679627,"No",">60"
7.96000214130384,"No",">60"
15.353039867128,"No",">60"
10.6307037725164,"No",">60"
8.14329868016564,"No",">60"
14.5369042354893,"No",">60"
10.6270833680418,"No",">60"
9.33401392933181,"No",">60"
7.16275175916824,"No",">60"
6.83491981598424,"No",">60"
11.3817273054573,"No",">60"
9.82258062777668,"No",">60"
11.5194039834345,"No",">60"
9.47621968286838,"No",">60"
10.2287492564876,"No",">60"
13.0023147913623,"No",">60"
13.0395038659622,"No",">60"
10.73430873855,"No",">60"
11.7277333354186,"No",">60"
11.8227407375761,"Si",">60"
9.00923472039668,"Si",">60"
10.7607336527784,"Si",">60"
10.0355745742108,"Si",">60"
11.3536140964487,"Si",">60"
8.64320665275002,"Si",">60"
9.44032135981039,"Si",">60"
9.71751391035515,"Si",">60"
12.0243422640082,"Si",">60"
9.21935642630555,"Si",">60"
12.7322188407496,"Si",">60"
12.0264516417644,"Si",">60"
9.87080127482312,"Si",">60"
13.1780331404241,"Si",">60"
13.6085535300424,"Si",">60"
5.73620732957709,"Si",">60"
10.6943929906428,"Si",">60"
6.73189500309732,"Si",">60"
8.65531772500326,"Si",">60"
10.7904689406757,"Si",">60"
8.94081128253347,"Si",">60"
12.8524543871806,"Si",">60"
11.8939255517477,"Si",">60"
10.4315097052554,"Si",">60"
12.1044320152782,"Si",">60"
13.2062219323967,"Si",">60"
13.6802035800999,"Si",">60"
12.2256548602519,"Si",">60"
7.50461498046087,"Si",">60"
11.7060287841976,"Si",">60"
8.95559552314618,"Si",">60"
7.81006409892812,"Si",">60"
8.4805296898167,"Si",">60"
10.5687716224508,"Si",">60"
12.5034495939409,"Si",">60"
7.61462128491525,"Si",">60"
10.3056528153399,"Si",">60"
11.9238233159959,"Si",">60"
9.56539009420526,"Si",">60"
11.4143475538654,"Si",">60"
9.26894666915511,"Si",">60"
13.7593073820139,"Si",">60"
9.08271871874078,"Si",">60"
11.1548945996175,"Si",">60"
10.2208709913285,"Si",">60"
13.4884248276819,"Si",">60"
9.67732320839261,"Si",">60"
9.5169335008572,"Si",">60"
10.4034816571523,"Si",">60"
8.28245779835263,"Si",">60"
13.1938286502589,"No","<=60"
12.3026900294056,"No","<=60"
13.6538219422483,"No","<=60"
12.269726468186,"No","<=60"
14.4399088185659,"No","<=60"
12.8606421957222,"No","<=60"
11.6147695527831,"No","<=60"
11.4157361091965,"No","<=60"
12.8186523840548,"No","<=60"
13.6095320267304,"No","<=60"
14.6571594521498,"No","<=60"
13.6079906208397,"No","<=60"
13.2774875565342,"No","<=60"
15.7881376201224,"No","<=60"
13.5480053211038,"No","<=60"
13.6627862534253,"No","<=60"
12.8142410649041,"No","<=60"
14.7908958676118,"No","<=60"
15.2590141342596,"No","<=60"
14.5685029213925,"No","<=60"
